file	seqproject	lanedir	library	sid	lane	read
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA142a_S184_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA142a	S184	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA123b_S149_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA123b	S149	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA149c_S145_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA149c	S145	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA125_S156_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA125	S156	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA120g_S209_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA120g	S209	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA139_S148_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA139	S148	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA129c_S234_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA129c	S234	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA141b_S219_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA141b	S219	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA144c_S152_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA144c	S152	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA147a_S232_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA147a	S232	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA122_S151_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA122	S151	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA136c_S169_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA136c	S169	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA131d_S196_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA131d	S196	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA133_S195_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA133	S195	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA120g_S209_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA120g	S209	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA148_S208_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA148	S208	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA143a_S218_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA143a	S218	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA138b_S200_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA138b	S200	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA125e_S182_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA125e	S182	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA146b_S227_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA146b	S227	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA124e_S194_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA124e	S194	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA148_S208_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA148	S208	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA143_S187_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA143	S187	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA120f_S216_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA120f	S216	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA126c_S215_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA126c	S215	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA149f_S205_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA149f	S205	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/JJB3609_S178_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	JJB3609	S178	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA147b_S223_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA147b	S223	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA144b_S193_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA144b	S193	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA114e_S204_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA114e	S204	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA114c_S159_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA114c	S159	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA131f_S185_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA131f	S185	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA131d_S196_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA131d	S196	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA143b_S175_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA143b	S175	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA147d_S213_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA147d	S213	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA120f_S216_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA120f	S216	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA42d_S224_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA42d	S224	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA137c_S235_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA137c	S235	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA126f_S167_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA126f	S167	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA100d_S238_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA100d	S238	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA125h_S181_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA125h	S181	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA122c_S210_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA122c	S210	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA56_S174_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA56	S174	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA143_S187_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA143	S187	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA143c_S199_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA143c	S199	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA120d_S161_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA120d	S161	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA122a_S220_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA122a	S220	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA141b_S219_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA141b	S219	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA100d_S238_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA100d	S238	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA124e_S194_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA124e	S194	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA143c_S199_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA143c	S199	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/JJB3612b_S192_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	JJB3612b	S192	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA150a_S170_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA150a	S170	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA125dx_S221_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA125dx	S221	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA132c_S164_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA132c	S164	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA122_S151_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA122	S151	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA136b_S150_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA136b	S150	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA131f_S185_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA131f	S185	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA120d_S161_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA120d	S161	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA144b_S193_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA144b	S193	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA141c_S166_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA141c	S166	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA145_S186_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA145	S186	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA122c_S210_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA122c	S210	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA141_S225_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA141	S225	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/JJB3608_S212_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	JJB3608	S212	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA125dx_S221_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA125dx	S221	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA125h_S181_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA125h	S181	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA126c_S215_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA126c	S215	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA145_S186_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA145	S186	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA126e_S217_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA126e	S217	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA43_S165_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA43	S165	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/JJB3612d_S163_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	JJB3612d	S163	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA120h_S228_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA120h	S228	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA130a_S231_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA130a	S231	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA143b_S175_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA143b	S175	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA128_S202_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA128	S202	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA141c_S166_L003_R2_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA141c	S166	L003_	read2
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA130a_S231_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA130a	S231	L003_	read1
/g/data/xe2/datasets/2021-08_ac-colin_brf-eucs/A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA/DDA145b_S172_L003_R1_001.fastq.gz	2021-08_ac-colin_brf-eucs	A00548_0218_pool1_Rose_Evim_Ecan_APF_gDNA_L003	DDA145b	S172	L003_	read1
