sample	project	species	library	run	read2_uri	read1_uri	interleaved_uri
AY_09	RRG		AY_09_S9_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_09_S9_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_09_S9_L001_R1_001.fastq.gz	
AY_09	RRG		AY_09_S9_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_09_S9_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_09_S9_L002_R1_001.fastq.gz	
AY_10	RRG		AY_10_S11_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_10_S11_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_10_S11_L001_R1_001.fastq.gz	
AY_10	RRG		AY_10_S11_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_10_S11_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_10_S11_L002_R1_001.fastq.gz	
AY_11	RRG		AY_11_S12_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_11_S12_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_11_S12_L002_R1_001.fastq.gz	
AY_11	RRG		AY_11_S12_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_11_S12_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_11_S12_L001_R1_001.fastq.gz	
AY_12	RRG		AY_12_S13_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_12_S13_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_12_S13_L002_R1_001.fastq.gz	
AY_12	RRG		AY_12_S13_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_12_S13_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_12_S13_L001_R1_001.fastq.gz	
AY_12B	RRG		AY_12B_S14_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_12B_S14_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_12B_S14_L001_R1_001.fastq.gz	
AY_12B	RRG		AY_12B_S14_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_12B_S14_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/AY_12B_S14_L002_R1_001.fastq.gz	
BE_01	RRG		BE_01_S15_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_01_S15_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_01_S15_L001_R1_001.fastq.gz	
BE_01	RRG		BE_01_S15_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_01_S15_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_01_S15_L002_R1_001.fastq.gz	
BE_02	RRG		BE_02_S16_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_02_S16_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_02_S16_L001_R1_001.fastq.gz	
BE_02	RRG		BE_02_S16_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_02_S16_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_02_S16_L002_R1_001.fastq.gz	
BE_03	RRG		BE_03_S17_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_03_S17_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_03_S17_L002_R1_001.fastq.gz	
BE_03	RRG		BE_03_S17_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_03_S17_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_03_S17_L001_R1_001.fastq.gz	
BE_04	RRG		BE_04_S18_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_04_S18_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_04_S18_L001_R1_001.fastq.gz	
BE_04	RRG		BE_04_S18_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_04_S18_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_04_S18_L002_R1_001.fastq.gz	
BE_05	RRG		BE_05_S19_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_05_S19_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_05_S19_L002_R1_001.fastq.gz	
BE_05	RRG		BE_05_S19_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_05_S19_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_05_S19_L001_R1_001.fastq.gz	
BE_06	RRG		BE_06_S20_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_06_S20_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_06_S20_L001_R1_001.fastq.gz	
BE_06	RRG		BE_06_S20_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_06_S20_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_06_S20_L002_R1_001.fastq.gz	
BE_07	RRG		BE_07_S21_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_07_S21_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_07_S21_L001_R1_001.fastq.gz	
BE_07	RRG		BE_07_S21_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_07_S21_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_07_S21_L002_R1_001.fastq.gz	
BE_08	RRG		BE_08_S22_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_08_S22_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_08_S22_L001_R1_001.fastq.gz	
BE_08	RRG		BE_08_S22_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_08_S22_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_08_S22_L002_R1_001.fastq.gz	
BE_09	RRG		BE_09_S23_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_09_S23_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_09_S23_L002_R1_001.fastq.gz	
BE_09	RRG		BE_09_S23_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_09_S23_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_09_S23_L001_R1_001.fastq.gz	
BE_10	RRG		BE_10_S24_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_10_S24_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_10_S24_L002_R1_001.fastq.gz	
BE_10	RRG		BE_10_S24_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_10_S24_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_10_S24_L001_R1_001.fastq.gz	
BE_11	RRG		BE_11_S25_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_11_S25_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_11_S25_L001_R1_001.fastq.gz	
BE_11	RRG		BE_11_S25_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_11_S25_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_11_S25_L002_R1_001.fastq.gz	
BE_11B	RRG		BE_11B_S26_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_11B_S26_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_11B_S26_L002_R1_001.fastq.gz	
BE_11B	RRG		BE_11B_S26_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_11B_S26_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_11B_S26_L001_R1_001.fastq.gz	
BE_12	RRG		BE_12_S27_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_12_S27_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_12_S27_L002_R1_001.fastq.gz	
BE_12	RRG		BE_12_S27_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_12_S27_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BE_12_S27_L001_R1_001.fastq.gz	
BH_01	RRG		BH_01_S28_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_01_S28_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_01_S28_L002_R1_001.fastq.gz	
BH_01	RRG		BH_01_S28_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_01_S28_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_01_S28_L001_R1_001.fastq.gz	
BH_02	RRG		BH_02_S29_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_02_S29_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_02_S29_L001_R1_001.fastq.gz	
BH_02	RRG		BH_02_S29_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_02_S29_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_02_S29_L002_R1_001.fastq.gz	
BH_03	RRG		BH_03_S30_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_03_S30_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_03_S30_L001_R1_001.fastq.gz	
BH_03	RRG		BH_03_S30_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_03_S30_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_03_S30_L002_R1_001.fastq.gz	
BH_04	RRG		BH_04_S31_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_04_S31_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_04_S31_L001_R1_001.fastq.gz	
BH_04	RRG		BH_04_S31_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_04_S31_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_04_S31_L002_R1_001.fastq.gz	
BH_05	RRG		BH_05_S32_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_05_S32_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_05_S32_L002_R1_001.fastq.gz	
BH_05	RRG		BH_05_S32_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_05_S32_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_05_S32_L001_R1_001.fastq.gz	
BH_06	RRG		BH_06_S33_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_06_S33_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_06_S33_L002_R1_001.fastq.gz	
BH_06	RRG		BH_06_S33_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_06_S33_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_06_S33_L001_R1_001.fastq.gz	
BH_07	RRG		BH_07_S34_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_07_S34_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_07_S34_L002_R1_001.fastq.gz	
BH_07	RRG		BH_07_S34_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_07_S34_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_07_S34_L001_R1_001.fastq.gz	
BH_08	RRG		BH_08_S35_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_08_S35_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_08_S35_L002_R1_001.fastq.gz	
BH_08	RRG		BH_08_S35_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_08_S35_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_08_S35_L001_R1_001.fastq.gz	
BH_09	RRG		BH_09_S36_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_09_S36_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_09_S36_L002_R1_001.fastq.gz	
BH_09	RRG		BH_09_S36_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_09_S36_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_09_S36_L001_R1_001.fastq.gz	
BH_10	RRG		BH_10_S37_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_10_S37_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_10_S37_L001_R1_001.fastq.gz	
BH_10	RRG		BH_10_S37_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_10_S37_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_10_S37_L002_R1_001.fastq.gz	
BH_11	RRG		BH_11_S38_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_11_S38_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_11_S38_L001_R1_001.fastq.gz	
BH_11	RRG		BH_11_S38_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_11_S38_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BH_11_S38_L002_R1_001.fastq.gz	
BK_01	RRG		BK_01_S39_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_01_S39_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_01_S39_L001_R1_001.fastq.gz	
BK_01	RRG		BK_01_S39_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_01_S39_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_01_S39_L002_R1_001.fastq.gz	
BK_02	RRG		BK_02_S40_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_02_S40_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_02_S40_L001_R1_001.fastq.gz	
BK_02	RRG		BK_02_S40_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_02_S40_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_02_S40_L002_R1_001.fastq.gz	
BK_03	RRG		BK_03_S41_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_03_S41_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_03_S41_L002_R1_001.fastq.gz	
BK_03	RRG		BK_03_S41_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_03_S41_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_03_S41_L001_R1_001.fastq.gz	
BK_04	RRG		BK_04_S42_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_04_S42_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_04_S42_L002_R1_001.fastq.gz	
BK_04	RRG		BK_04_S42_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_04_S42_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_04_S42_L001_R1_001.fastq.gz	
BK_05	RRG		BK_05_S43_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_05_S43_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_05_S43_L001_R1_001.fastq.gz	
BK_05	RRG		BK_05_S43_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_05_S43_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_05_S43_L002_R1_001.fastq.gz	
BK_06	RRG		BK_06_S44_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_06_S44_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_06_S44_L002_R1_001.fastq.gz	
BK_06	RRG		BK_06_S44_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_06_S44_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_06_S44_L001_R1_001.fastq.gz	
BK_07	RRG		BK_07_S45_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_07_S45_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_07_S45_L001_R1_001.fastq.gz	
BK_07	RRG		BK_07_S45_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_07_S45_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_07_S45_L002_R1_001.fastq.gz	
BK_08	RRG		BK_08_S46_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_08_S46_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_08_S46_L002_R1_001.fastq.gz	
BK_08	RRG		BK_08_S46_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_08_S46_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_08_S46_L001_R1_001.fastq.gz	
BK_09	RRG		BK_09_S47_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_09_S47_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_09_S47_L001_R1_001.fastq.gz	
BK_09	RRG		BK_09_S47_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_09_S47_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_09_S47_L002_R1_001.fastq.gz	
BK_10	RRG		BK_10_S48_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_10_S48_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_10_S48_L001_R1_001.fastq.gz	
BK_10	RRG		BK_10_S48_L002	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_10_S48_L002_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_10_S48_L002_R1_001.fastq.gz	
BK_11	RRG		BK_11_S49_L001	2024_brf-euc-novaseq-x-flowcells	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_11_S49_L001_R2_001.fastq.gz	rawdata/reads/2024_brf-euc-novaseq-x-flowcells/BK_11_S49_L001_R1_001.fastq.gz	
