"","species_group","sample","species.x","NoOut","Section_Vlook","Section_edit","Subsp.","samp_prefix","Maid_rl2s","tag","date","parsed_date","latitude","longitude","jit_latitude","jit_longitude","elevation.x","datum","location","region","collectors","samplename","population","seed","notes","group","nearest_neighbor_distance","elevation.y","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9","species.y","spp_loc","spp_reg","Putative","spp.cross","putative.spp_loc","dsuite_loc_putative","dsuite_loc","dsuite_reg","dsuite_tree","dsuite_loc_num","RM_nonlarge_samp"
"11","Eucalyptus canobolensis_129","DDA135a","Eucalyptus canobolensis","","Maidenaria","Maidenaria","","novaseq_","DDA135a","novaseq_DDA135a","4/11/2019 0:00","4/11/2019 11:00",-33.28041667,148.9899167,-33.32835462,149.0833324,NA,"","Corner of Borenore road and Akhurst road. Between road and rail corridor.","CT","D.D. Andrew J.J. Bruhl, R.W. Medd, R.L. Andrew","NE 109683",NA,NA,"",129,0.482599889,1186,12.16250038,18.70000076,5.666666508,949,102,55,18.76042175,285,186,244,270,11.1916666,44.06167984,526.3256836,26,0.600000024,25.39999962,6.550000191,12.69999981,"canobolensis","canobo_BORs","canobo_ORA","canobolensis","canobolensis","canobo_BORs","canobo_BORs","canobo_BORs","canobo_ORA","canobo_ORA_110","can_BORs_110","canobo_BORs"
"12","Eucalyptus canobolensis_132","DDA150","Eucalyptus canobolensis","","Maidenaria","Maidenaria","","novaseq_","DDA150","novaseq_DDA150","5/11/2019 0:00","5/11/2019 11:00",-33.31708333,149.1029722,-33.31708333,149.1029722,NA,"","Huntley road rail corridor, Orange.","CT","D.D. Andrew R.L. Andrew, R.W. Medd, J.J. Bruhl","NE 109699",NA,NA,"",132,1.010334347,926,12.35416603,18.93333244,5.799999714,919,98,53,18.79501152,274,180,239,258,11.42500019,44.62890625,530.7689819,26.29999924,0.699999988,25.59999847,6.683333397,12.89999962,"canobolensis","canobo_ORA","canobo_ORA","canobolensis","canobolensis","canobo_ORA","canobo_ORA","canobo_ORA","canobo_ORA","canobo_ORA_171","can_ORA_171","canobo_ORA"
"13","Eucalyptus canobolensis_134","DDA125e","Eucalyptus canobolensis","","Maidenaria","Maidenaria","","novaseq_","DDA125e","novaseq_DDA125e","3/11/2019 0:00","3/11/2019 11:00",-33.34905556,148.9768889,-33.28494973,149.0145009,NA,"","Federal falls day use area, Mt Canobolas.","CT","D.D. Andrew J.J. Bruhl, R.W. Medd, R.L. Andrew","NE 109673",NA,NA,"",134,0.083836491,1101,12.60000038,19.04999924,6.150000095,912,94,54,16.97820854,268,182,235,254,11.01666641,43.89110184,521.1699829,26.20000076,1.100000024,25.10000038,6.983333588,13.21666622,"canobolensis","canobo_CAN3","canobo_ORA","canobolensis","canobolensis","canobo_CAN3","canobo_CAN3","canobo_CAN3","canobo_ORA","canobo_ORA_71","can_CAN3_71","canobo_CAN3"
"14","Eucalyptus canobolensis_135","DDA125d","Eucalyptus canobolensis","","Maidenaria","Maidenaria","","novaseq_","DDA125d","novaseq_DDA125d","3/11/2019 0:00","3/11/2019 11:00",-33.34905556,148.9768889,-33.28494969,149.0144897,NA,"","Federal falls day use area, Mt Canobolas.","CT","D.D. Andrew J.J. Bruhl, R.W. Medd, R.L. Andrew","NE 109673",NA,NA,"",135,0.332858984,1061,12.60000038,19.04999924,6.150000095,912,94,54,16.97820854,268,182,235,254,11.01666641,43.89110184,521.1699829,26.20000076,1.100000024,25.10000038,6.983333588,13.21666622,"canobolensis","canobo_CAN3","canobo_ORA","canobolensis","canobolensis","canobo_CAN3","canobo_CAN3","canobo_CAN3","canobo_ORA","canobo_ORA_69","can_CAN3_69","canobo_CAN3"
"15","Eucalyptus canobolensis_137","DDA125dx","Eucalyptus canobolensis","","Maidenaria","Maidenaria","","novaseq_","DDA125dx","novaseq_DDA125dx","3/11/2019 0:00","3/11/2019 11:00",-33.34905556,148.9768889,-33.28494669,149.0144997,NA,"","Federal falls day use area, Mt Canobolas.","CT","D.D. Andrew J.J. Bruhl, R.W. Medd, R.L. Andrew","NE 109673",NA,NA,"",137,0.251106325,1061,12.60000038,19.04999924,6.150000095,912,94,54,16.97820854,268,182,235,254,11.01666641,43.89110184,521.1699829,26.20000076,1.100000024,25.10000038,6.983333588,13.21666622,"canobolensis","canobo_CAN3","canobo_ORA","canobolensis","canobolensis","canobo_CAN3","canobo_CAN3","canobo_CAN3","canobo_ORA","canobo_ORA_70","can_CAN3_70","canobo_CAN3"
"16","Eucalyptus canobolensis_139","DDA125f","Eucalyptus canobolensis","","Maidenaria","Maidenaria","","novaseq_","DDA125f","novaseq_DDA125f","3/11/2019 0:00","3/11/2019 11:00",-33.34905556,148.9768889,-33.28494518,149.0145073,NA,"","Federal falls day use area, Mt Canobolas.","CT","D.D. Andrew J.J. Bruhl, R.W. Medd, R.L. Andrew","NE 109673",NA,NA,"",139,0.550037414,1101,12.60000038,19.04999924,6.150000095,912,94,54,16.97820854,268,182,235,254,11.01666641,43.89110184,521.1699829,26.20000076,1.100000024,25.10000038,6.983333588,13.21666622,"canobolensis","canobo_CAN3","canobo_ORA","canobolensis","canobolensis","canobo_CAN3","canobo_CAN3","canobo_CAN3","canobo_ORA","canobo_ORA_72","can_CAN3_72","canobo_CAN3"
"17","Eucalyptus canobolensis_140","DDA132","Eucalyptus canobolensis","","Maidenaria","Maidenaria","","novaseq_","DDA132","novaseq_DDA132","4/11/2019 0:00","4/11/2019 11:00",-33.28494444,149.0145,-33.28494444,149.0145,NA,"","Roadside verge, 111 Nashdale lane, Nashdale.","CT","D.D. Andrew R.L. Andrew, R.W. Medd, J.J. Bruhl","NE 109680",NA,NA,"",140,0.141307592,1186,12.60000038,19.04999924,6.150000095,912,94,54,16.97820854,268,182,235,254,11.01666641,43.89110184,521.1699829,26.20000076,1.100000024,25.10000038,6.983333588,13.21666622,"canobolensis","canobo_NAS","canobo_ORA","canobolensis","canobolensis","canobo_NAS","canobo_NAS","canobo_NAS","canobo_ORA","canobo_ORA_102","can_NAS_102","canobo_NAS"
"18","Eucalyptus canobolensis_142","DDA125b","Eucalyptus canobolensis","","Maidenaria","Maidenaria","","novaseq_","DDA125b","novaseq_DDA125b","3/11/2019 0:00","3/11/2019 11:00",-33.34905556,148.9768889,-33.28494425,149.0145015,NA,"","Federal falls day use area, Mt Canobolas.","CT","D.D. Andrew J.J. Bruhl, R.W. Medd, R.L. Andrew","NE 109673",NA,NA,"",142,0.141307592,860,12.60000038,19.04999924,6.150000095,912,94,54,16.97820854,268,182,235,254,11.01666641,43.89110184,521.1699829,26.20000076,1.100000024,25.10000038,6.983333588,13.21666622,"canobolensis","canobo_CAN3","canobo_ORA","canobolensis","canobolensis","canobo_CAN3","canobo_CAN3","canobo_CAN3","canobo_ORA","canobo_ORA_68","can_CAN3_68","canobo_CAN3"
"19","Eucalyptus canobolensis_147","DDA125h","Eucalyptus canobolensis","","Maidenaria","Maidenaria","","novaseq_","DDA125h","novaseq_DDA125h","3/11/2019 0:00","3/11/2019 11:00",-33.34905556,148.9768889,-33.28042135,148.9899217,NA,"","Federal falls day use area, Mt Canobolas.","CT","D.D. Andrew J.J. Bruhl, R.W. Medd, R.L. Andrew","NE 109673",NA,NA,"",147,0.697404183,1211,12.67500019,19.14999962,6.199999809,908,94,53,17.23546791,267,181,233,252,10.94999981,43.62549973,523.8255005,26.29999924,1.200000048,25.09999847,7.016666412,13.3166666,"canobolensis","canobo_CAN3","canobo_ORA","canobolensis","canobolensis","canobo_CAN3","canobo_CAN3","canobo_CAN3","canobo_ORA","canobo_ORA_73","can_CAN3_73","canobo_CAN3"
"20","Eucalyptus canobolensis_149","DDA135","Eucalyptus canobolensis","","Maidenaria","Maidenaria","","novaseq_","DDA135","novaseq_DDA135","4/11/2019 0:00","4/11/2019 11:00",-33.28041667,148.9899167,-33.28041667,148.9899167,NA,"","Corner of Borenore road and Akhurst road. Between road and rail corridor.","CT","D.D. Andrew J.J. Bruhl, R.W. Medd, R.L. Andrew","NE 109683",NA,NA,"",149,0.697404183,1186,12.67500019,19.14999962,6.199999809,908,94,53,17.23546791,267,181,233,252,10.94999981,43.62549973,523.8255005,26.29999924,1.200000048,25.09999847,7.016666412,13.3166666,"canobolensis","canobo_BORs","canobo_ORA","canobolensis","canobolensis","canobo_BORs","canobo_BORs","canobo_BORs","canobo_ORA","canobo_ORA_109","can_BORs_109","canobo_BORs"
"21","Eucalyptus canobolensis_155","DDA129a","Eucalyptus canobolensis","","Maidenaria","Maidenaria","","novaseq_","DDA129a","novaseq_DDA129a","4/11/2019 0:00","4/11/2019 11:00",-33.33897222,149.0060556,-33.25788802,149.0147838,NA,"","Junction of Fern gully road, Devils hole fire trail and Summit road. Mt Canobolas.","CT","D.D. Andrew R.W. Medd, R.L. Andrew, J.J. Bruhl","NE 109677",NA,NA,"",155,0.567347849,848,12.98750019,19.53333282,6.466666698,873,88,52,16.44615746,252,175,228,237,11.42500019,44.62890625,527.9468384,26.89999962,1.299999952,25.60000038,7.300000191,13.60000038,"canobolensis","canobo_CAN5","canobo_ORA","canobolensis","canobolensis","canobo_CAN5","canobo_CAN5","canobo_CAN5","canobo_ORA","canobo_ORA_85","can_CAN5_85","canobo_CAN5"
"22","Eucalyptus canobolensis_157","DDA129c","Eucalyptus canobolensis","","Maidenaria","Maidenaria","","novaseq_","DDA129c","novaseq_DDA129c","4/11/2019 0:00","4/11/2019 11:00",-33.33897222,149.0060556,-33.25788491,149.0147725,NA,"","Junction of Fern gully road, Devils hole fire trail and Summit road. Mt Canobolas.","CT","D.D. Andrew R.W. Medd, R.L. Andrew, J.J. Bruhl","NE 109677",NA,NA,"",157,0.147847914,848,12.98750019,19.53333282,6.466666698,873,88,52,16.44615746,252,175,228,237,11.42500019,44.62890625,527.9468384,26.89999962,1.299999952,25.60000038,7.300000191,13.60000038,"canobolensis","canobo_CAN5","canobo_ORA","canobolensis","canobolensis","canobo_CAN5","canobo_CAN5","canobo_CAN5","canobo_ORA","canobo_ORA_86","can_CAN5_86","canobo_CAN5"
"23","Eucalyptus canobolensis_160","DDA129d","Eucalyptus canobolensis","","Maidenaria","Maidenaria","","novaseq_","DDA129d","novaseq_DDA129d","4/11/2019 0:00","4/11/2019 11:00",-33.33897222,149.0060556,-33.23475186,149.1324454,NA,"","Junction of Fern gully road, Devils hole fire trail and Summit road. Mt Canobolas.","CT","D.D. Andrew R.W. Medd, R.L. Andrew, J.J. Bruhl","NE 109677",NA,NA,"",160,0.226368631,705,12.8791666,19.45000076,6.316666603,868,90,52,17.34976387,250,173,231,234,11.1916666,44.06167984,530.3963013,26.70000076,1.299999952,25.40000153,7.199999809,13.41666698,"canobolensis","canobo_CAN5","canobo_ORA","canobolensis","canobolensis","canobo_CAN5","canobo_CAN5","canobo_CAN5","canobo_ORA","canobo_ORA_87","can_CAN5_87","canobo_CAN5"
"24","Eucalyptus canobolensis_163","DDA129f","Eucalyptus canobolensis","","Maidenaria","Maidenaria","","novaseq_","DDA129f","novaseq_DDA129f","4/11/2019 0:00","4/11/2019 11:00",-33.33897222,149.0060556,-33.21336845,149.1364899,NA,"","Junction of Fern gully road, Devils hole fire trail and Summit road. Mt Canobolas.","CT","D.D. Andrew R.W. Medd, R.L. Andrew, J.J. Bruhl","NE 109677",NA,NA,"",163,1.24471414,705,12.9958334,19.5,6.483333588,847,88,52,17.15552521,243,170,226,225,10.92500019,43.70000076,525.2508545,26.60000038,1.600000024,25,7.383333206,13.53333378,"canobolensis","canobo_CAN5","canobo_ORA","canobolensis","canobolensis","canobo_CAN5","canobo_CAN5","canobo_CAN5","canobo_ORA","canobo_ORA_88","can_CAN5_88","canobo_CAN5"
"25","Eucalyptus canobolensis_165","DDA129g","Eucalyptus canobolensis","","Maidenaria","Maidenaria","","novaseq_","DDA129g","novaseq_DDA129g","4/11/2019 0:00","4/11/2019 11:00",-33.33897222,149.0060556,-33.21335867,149.1365066,NA,"","Junction of Fern gully road, Devils hole fire trail and Summit road. Mt Canobolas.","CT","D.D. Andrew R.W. Medd, R.L. Andrew, J.J. Bruhl","NE 109677",NA,NA,"",165,0.672183117,705,12.9958334,19.5,6.483333588,847,88,52,17.15552521,243,170,226,225,10.92500019,43.70000076,525.2508545,26.60000038,1.600000024,25,7.383333206,13.53333378,"canobolensis","canobo_CAN5","canobo_ORA","canobolensis","canobolensis","canobo_CAN5","canobo_CAN5","canobo_CAN5","canobo_ORA","canobo_ORA_89","can_CAN5_89","canobo_CAN5"
"26","Eucalyptus canobolensis_179","DDA145d","Eucalyptus canobolensis","","Maidenaria","Maidenaria","","novaseq_","DDA145d","novaseq_DDA145d","5/11/2019 0:00","5/11/2019 11:00",-33.4225,148.9715833,-30.48669987,150.0737469,NA,"","Diggers creek road, near to Four mile creek road.","CT","D.D. Andrew J.J. Bruhl, R.L. Andrew, R.W. Medd","NE 109693",NA,NA,"",179,25131.46511,857,18.57916641,25.41666794,11.19999981,641,109,33,39.49505997,241,115,241,115,14.72500038,49.24748993,574.9919434,33.40000153,3.5,29.90000153,25.41666794,11.19999981,"canobolensis","canobo_CAD","canobo_ORA","canobolensis","canobolensis","canobo_CAD","canobo_CAD","canobo_CAD","canobo_ORA","canobo_ORA_150","can_CAD_150","canobo_CAD"
"27","Eucalyptus canobolensis_180","DDA145b","Eucalyptus canobolensis","","Maidenaria","Maidenaria","","novaseq_","DDA145b","novaseq_DDA145b","5/11/2019 0:00","5/11/2019 11:00",-33.4225,148.9715833,-30.48669826,151.7590186,NA,"","Diggers creek road, near to Four mile creek road.","CT","D.D. Andrew J.J. Bruhl, R.L. Andrew, R.W. Medd","NE 109693",NA,NA,"",180,0.43039708,955,13.57499981,19.39999962,7.266666412,789,122,35,41.2220192,311,116,311,116,12.71666622,49.28940582,489.4361267,26.5,0.699999988,25.79999924,19.39999962,7.266666412,"canobolensis","canobo_CAD","canobo_ORA","canobolensis","canobolensis","canobo_CAD","canobo_CAD","canobo_CAD","canobo_ORA","canobo_ORA_149","can_CAD_149","canobo_CAD"
"28","Eucalyptus canobolensis_182","DDA145a","Eucalyptus canobolensis","","Maidenaria","Maidenaria","","novaseq_","DDA145a","novaseq_DDA145a","5/11/2019 0:00","5/11/2019 11:00",-33.4225,148.9715833,-30.48669219,151.7590218,NA,"","Diggers creek road, near to Four mile creek road.","CT","D.D. Andrew J.J. Bruhl, R.L. Andrew, R.W. Medd","NE 109693",NA,NA,"",182,0.339582112,857,13.57499981,19.39999962,7.266666412,789,122,35,41.2220192,311,116,311,116,12.71666622,49.28940582,489.4361267,26.5,0.699999988,25.79999924,19.39999962,7.266666412,"canobolensis","canobo_CAD","canobo_ORA","canobolensis","canobolensis","canobo_CAD","canobo_CAD","canobo_CAD","canobo_ORA","canobo_ORA_148","can_CAD_148","canobo_CAD"
"29","Eucalyptus canobolensis_183","DDA144d","Eucalyptus canobolensis","","Maidenaria","Maidenaria","","novaseq_","DDA144d","novaseq_DDA144d","4/11/2019 0:00","4/11/2019 11:00",-33.42641667,148.9699722,-30.48668979,151.7590292,NA,"","Carcoar road; east of Matthews lane and Tallwood road.","CT","D.D. Andrew R.L. Andrew, J.J. Bruhl, R.W. Medd","NE 109692",NA,NA,"",183,0.758673318,867,13.57499981,19.39999962,7.266666412,789,122,35,41.2220192,311,116,311,116,12.71666622,49.28940582,489.4361267,26.5,0.699999988,25.79999924,19.39999962,7.266666412,"canobolensis","canobo_CAD","canobo_ORA","canobolensis","canobolensis","canobo_CAD","canobo_CAD","canobo_CAD","canobo_ORA","canobo_ORA_146","can_CAD_146","canobo_CAD"
"30","Eucalyptus canobolensis_2","DDA144c","Eucalyptus canobolensis","","Maidenaria","Maidenaria","","novaseq_","DDA144c","novaseq_DDA144c","4/11/2019 0:00","4/11/2019 11:00",-33.42641667,148.9699722,-42.75194012,151.7590167,NA,"","Carcoar road; east of Matthews lane and Tallwood road.","CT","D.D. Andrew R.L. Andrew, J.J. Bruhl, R.W. Medd","NE 109692",NA,NA,"",2,321928.0983,901,13.57499981,19.39999962,7.266666412,789,122,35,41.2220192,311,116,311,116,12.71666622,49.28940582,489.4361267,26.5,0.699999988,25.79999924,19.39999962,7.266666412,"canobolensis","canobo_CAD","canobo_ORA","canobolensis","canobolensis","canobo_CAD","canobo_CAD","canobo_CAD","canobo_ORA","canobo_ORA_145","can_CAD_145","canobo_CAD"
"31","Eucalyptus canobolensis_30","DDA131g","Eucalyptus canobolensis","","Maidenaria","Maidenaria","","novaseq_","DDA131g","novaseq_DDA131g","4/11/2019 0:00","4/11/2019 11:00",-33.33813889,148.9769722,-33.42642347,148.9699683,NA,"","Junction of Summit road and Mitchell's way, Mt Canobolas.","CT","D.D. Andrew R.L. Andrew, R.W. Medd, J.J. Bruhl","NE 109679",NA,NA,"",30,0.836884171,1186,12.34166718,18.85000038,5.900000095,923,98,51,19.37506866,280,176,234,263,10.08333397,41.66666794,524.2780151,25.70000076,1.5,24.20000076,6.683333397,16.33333397,"canobolensis","canobo_CAN6","canobo_ORA","canobolensis","canobolensis","canobo_CAN6","canobo_CAN6","canobo_CAN6","canobo_ORA","canobo_ORA_100","can_CAN6_100","canobo_CAN6"
"32","Eucalyptus canobolensis_31","DDA144","Eucalyptus canobolensis","","Maidenaria","Maidenaria","","novaseq_","DDA144","novaseq_DDA144","4/11/2019 0:00","4/11/2019 11:00",-33.42641667,148.9699722,-33.42641667,148.9699722,NA,"","Carcoar road; east of Matthews lane and Tallwood road.","CT","D.D. Andrew R.L. Andrew, J.J. Bruhl, R.W. Medd","NE 109692",NA,NA,"",31,0.191700827,926,12.34166718,18.85000038,5.900000095,923,98,51,19.37506866,280,176,234,263,10.08333397,41.66666794,524.2780151,25.70000076,1.5,24.20000076,6.683333397,16.33333397,"canobolensis","canobo_CAD","canobo_ORA","canobolensis","canobolensis","canobo_CAD","canobo_CAD","canobo_CAD","canobo_ORA","canobo_ORA_142","can_CAD_142","canobo_CAD"
"33","Eucalyptus canobolensis_32","DDA131f","Eucalyptus canobolensis","","Maidenaria","Maidenaria","","novaseq_","DDA131f","novaseq_DDA131f","4/11/2019 0:00","4/11/2019 11:00",-33.33813889,148.9769722,-33.42641496,148.9699725,NA,"","Junction of Summit road and Mitchell's way, Mt Canobolas.","CT","D.D. Andrew R.L. Andrew, R.W. Medd, J.J. Bruhl","NE 109679",NA,NA,"",32,0.191700827,1186,12.34166718,18.85000038,5.900000095,923,98,51,19.37506866,280,176,234,263,10.08333397,41.66666794,524.2780151,25.70000076,1.5,24.20000076,6.683333397,16.33333397,"canobolensis","canobo_CAN6","canobo_ORA","canobolensis","canobolensis","canobo_CAN6","canobo_CAN6","canobo_CAN6","canobo_ORA","canobo_ORA_99","can_CAN6_99","canobo_CAN6"
