sample	species	date	parsed_date	latitude	longitude	elevation	datum	location	collectors	samplename	population	seed	notes
J311	Eucalyptus fibrosa	2015-09-30T00:00:00Z	2015-09-30T00:00:00Z	-30.60224	149.58173	270	WGS84	"Pilliga, Newell Hwy"					elevation computed from api.geonames.org/astergdem
J315	Eucalyptus fibrosa	2015-09-30T00:00:00Z	2015-09-30T00:00:00Z	-30.92855	149.36347	423	WGS84	"Pilliga, no 1 break rd"					elevation computed from api.geonames.org/astergdem
J316	Eucalyptus crebra	2015-09-30T00:00:00Z	2015-09-30T00:00:00Z	-30.92855	149.36347	423	WGS84	"Pilliga, no 1 break rd"					elevation computed from api.geonames.org/astergdem
J317	Eucalyptus crebra	2015-09-30T00:00:00Z	2015-09-30T00:00:00Z	-30.14459	150.0534	492	WGS84	"Sawn Rocks, parking lot"					elevation computed from api.geonames.org/astergdem
J318	Eucalyptus melliodora	2015-10-11T00:00:00Z	2015-10-11T00:00:00Z	-31.37365	151.13779	526	WGS84	"Chaffey Dam, Tamworth Nundle Rd"					elevation computed from api.geonames.org/astergdem
J319	Eucalyptus melliodora	2015-10-11T00:00:00Z	2015-10-11T00:00:00Z	-31.55948	151.05664	744	WGS84	"Nundle, Crawney Rd"					elevation computed from api.geonames.org/astergdem
J320	Eucalyptus moluccana	2015-10-11T00:00:00Z	2015-10-11T00:00:00Z	-31.72257	151.10243	474	WGS84	"Timor, Crawney Rd"					elevation computed from api.geonames.org/astergdem
J321g	Eucalyptus crebra	2015-10-12T00:00:00Z	2015-10-12T00:00:00Z	-32.75326	151.25224	112	WGS84	"Polkobin, Broke Rd"					elevation computed from api.geonames.org/astergdem
J322	Eucalyptus fibrosa	2015-10-12T00:00:00Z	2015-10-12T00:00:00Z	-32.75342	151.25269	110	WGS84	"Polkobin, Broke Rd"					elevation computed from api.geonames.org/astergdem
J324	Eucalyptus conica	2015-10-12T00:00:00Z	2015-10-12T00:00:00Z	-32.44442	150.2812	194	WGS84	"Wollomi NP, Bylong Valley Way"					elevation computed from api.geonames.org/astergdem
J326	Eucalyptus moluccana	2015-11-03T00:00:00Z	2015-11-03T00:00:00Z	-28.21744	152.84309	94	WGS84	"Rathdowney, Boonah Rathdowney Rd"					elevation computed from api.geonames.org/astergdem
J327	Eucalyptus crebra	2015-11-03T00:00:00Z	2015-11-03T00:00:00Z	-28.45172	152.3925	525	WGS84	"Koreelah, Tooloom Rd"					elevation computed from api.geonames.org/astergdem
J328	Eucalyptus moluccana	2015-11-03T00:00:00Z	2015-11-03T00:00:00Z	-28.43038	152.35915	482	WGS84	"Legume, Mt Lindsay Rd"					elevation computed from api.geonames.org/astergdem
J329	Eucalyptus conica	2015-11-03T00:00:00Z	2015-11-03T00:00:00Z	-28.41028	152.29292	555	WGS84	"Legume, Mt Lindsay Rd"					elevation computed from api.geonames.org/astergdem
J330	Eucalyptus fibrosa	2015-11-04T00:00:00Z	2015-11-04T00:00:00Z	-28.19138	151.61853	521	WGS84	"Karara, Cunningham Hwy"					elevation computed from api.geonames.org/astergdem
J331	Eucalyptus crebra	2015-11-04T00:00:00Z	2015-11-04T00:00:00Z	-28.29549	151.48801	497	WGS84	"Gore, Cunningham Hwy"					elevation computed from api.geonames.org/astergdem
J333	Eucalyptus caleyi	2015-11-04T00:00:00Z	2015-11-04T00:00:00Z	-28.52431	151.10556	339	WGS84	"Inglewood, Inglewood Texas Rd"					elevation computed from api.geonames.org/astergdem
J333a	Eucalyptus caleyi	2015-11-04T00:00:00Z	2015-11-04T00:00:00Z	-28.52431	151.10556	339	WGS84	"Inglewood, Inglewood Texas Rd"					elevation computed from api.geonames.org/astergdem
J334	Eucalyptus moluccana	2015-11-04T00:00:00Z	2015-11-04T00:00:00Z	-28.53696	151.10815	325	WGS84	"Inglewood, Inglewood Texas Rd"					elevation computed from api.geonames.org/astergdem
J335	Eucalyptus microcarpa	2015-11-04T00:00:00Z	2015-11-04T00:00:00Z	-28.89198	151.14803	297	WGS84	"Texas, Texas Bridge Road"					elevation computed from api.geonames.org/astergdem
J338	Eucalyptus conica	2015-11-05T00:00:00Z	2015-11-05T00:00:00Z	-29.15425	152.00211	859	WGS84	"Tenterfield, Bluff rock lookout"					elevation computed from api.geonames.org/astergdem
J339	Eucalyptus moluccana	2015-11-05T00:00:00Z	2015-11-05T00:00:00Z	-29.45636	151.55505	871	WGS84	"Emmaville, Strathbogie Rd"					elevation computed from api.geonames.org/astergdem
J340	Eucalyptus melliodora	2015-11-05T00:00:00Z	2015-11-05T00:00:00Z	-29.45577	151.55405	876	WGS84	"Emmaville, Strathbogie Rd"					elevation computed from api.geonames.org/astergdem
J341	Eucalyptus albens	2015-11-05T00:00:00Z	2015-11-05T00:00:00Z	-29.40223	151.41655	774	WGS84	"Yellow Dam, Emmaville Rd"					elevation computed from api.geonames.org/astergdem
J342	Eucalyptus sideroxylon	2015-11-05T00:00:00Z	2015-11-05T00:00:00Z	-29.39087	151.39279	732	WGS84	"Yellow Dam, Emmaville Rd"					elevation computed from api.geonames.org/astergdem
J343	Eucalyptus crebra	2015-11-05T00:00:00Z	2015-11-05T00:00:00Z	-29.35816	151.30991	626	WGS84	"Yellow Dam, Emmaville Rd"					elevation computed from api.geonames.org/astergdem
J344	Eucalyptus polyanthemos	2015-11-19T00:00:00Z	2015-11-19T00:00:00Z	-35.33962	148.91113	630	WGS84	"Pierces Creek State Forest, Vanitys Crossing"					elevation computed from api.geonames.org/astergdem
J345	Eucalyptus albens	2015-11-20T00:00:00Z	2015-11-20T00:00:00Z	-35.07022	148.83685	493	WGS84	"Mullion, Mountain Creek Rd."					elevation computed from api.geonames.org/astergdem
J346	Eucalyptus melliodora	2015-11-20T00:00:00Z	2015-11-20T00:00:00Z	-35.06954	148.83661	501	WGS84	"Mullion, Mountain Creek Rd."					elevation computed from api.geonames.org/astergdem
J347	Eucalyptus polyanthemos	2015-11-20T00:00:00Z	2015-11-20T00:00:00Z	-35.09381	148.74881	731	WGS84	"Wee Jasper, Doctors Flat Rd."					elevation computed from api.geonames.org/astergdem
J348	Eucalyptus polyanthemos	2015-11-20T00:00:00Z	2015-11-20T00:00:00Z	-35.24184	148.29729	435	WGS84	"Wee Jasper, Wee Jasper Rd."					elevation computed from api.geonames.org/astergdem
J349	Eucalyptus albens	2015-11-20T00:00:00Z	2015-11-20T00:00:00Z	-35.24369	148.2968	445	WGS84	"Wee Jasper, Wee Jasper Rd."					elevation computed from api.geonames.org/astergdem
J350	Eucalyptus albens	2015-11-20T00:00:00Z	2015-11-20T00:00:00Z	-35.2456	147.68083	288	WGS84	"Tarcutta, Mates Gully Rd."					elevation computed from api.geonames.org/astergdem
J351	Eucalyptus polyanthemos	2015-11-20T00:00:00Z	2015-11-20T00:00:00Z	-35.25609	147.68506	296	WGS84	"Tarcutta, Mates Gully Rd."					elevation computed from api.geonames.org/astergdem
J353	Eucalyptus polyanthemos	2015-11-20T00:00:00Z	2015-11-20T00:00:00Z	-35.8453	147.19722	330	WGS84	"Blue Metal Rest Area, M31"					elevation computed from api.geonames.org/astergdem
J354	Eucalyptus moluccana	2015-11-20T00:00:00Z	2015-11-20T00:00:00Z	-35.84469	147.19794	332	WGS84	"Blue Metal Rest Area, M31"					elevation computed from api.geonames.org/astergdem
J355	Eucalyptus sideroxylon	2015-11-21T00:00:00Z	2015-11-21T00:00:00Z	-36.09264	146.61917	180	WGS84	"Chiltern, Chiltern-Howlong Rd."					elevation computed from api.geonames.org/astergdem
J355b	Eucalyptus sideroxylonXmicrocarpa	2015-11-21T00:00:00Z	2015-11-21T00:00:00Z	-36.08961	146.62105	176	WGS84	"Chiltern, Chiltern-Howlong Rd."					elevation computed from api.geonames.org/astergdem
J357	Eucalyptus melliodora	2015-11-21T00:00:00Z	2015-11-21T00:00:00Z	-36.019	146.29446	131	WGS84	"Collendina State Forest, Spring Dr."					elevation computed from api.geonames.org/astergdem
J358	Eucalyptus melliodora	2015-11-21T00:00:00Z	2015-11-21T00:00:00Z	-35.38973	146.35303	124	WGS84	"Urana, Walbundrie Rd."					elevation computed from api.geonames.org/astergdem
J359	Eucalyptus sideroxylon	2015-11-21T00:00:00Z	2015-11-21T00:00:00Z	-34.47594	147.40941	321	WGS84	"Ingalba Nature Reserve, Hwy 94"					elevation computed from api.geonames.org/astergdem
J360	Eucalyptus conica	2015-11-21T00:00:00Z	2015-11-21T00:00:00Z	-34.01205	148.12904	309	WGS84	"Orange, Old Forbes Rd."					elevation computed from api.geonames.org/astergdem
J361	Eucalyptus albens	2015-11-22T00:00:00Z	2015-11-22T00:00:00Z	-33.42118	148.51154	509	WGS84	"Nangar Natl Park, Dripping Rock Rd."					elevation computed from api.geonames.org/astergdem
J362	Eucalyptus sideroxylon	2015-11-22T00:00:00Z	2015-11-22T00:00:00Z	-33.42108	148.51126	509	WGS84	"Nangar Natl Park, Dripping Rock Rd."					elevation computed from api.geonames.org/astergdem
J363	Eucalyptus microcarpa	2015-11-22T00:00:00Z	2015-11-22T00:00:00Z	-33.41328	148.22136	261	WGS84	"Eugowra, Escort Way"					elevation computed from api.geonames.org/astergdem
J364	Eucalyptus conica	2015-11-22T00:00:00Z	2015-11-22T00:00:00Z	-33.41328	148.22136	261	WGS84	"Eugowra, Escort Way"					elevation computed from api.geonames.org/astergdem
J365	Eucalyptus melliodora	2015-11-22T00:00:00Z	2015-11-22T00:00:00Z	-33.31832	148.97163	876	WGS84	"Glenwood State Forest, Cargo Rd."					elevation computed from api.geonames.org/astergdem
J366	Eucalyptus fibrosa	2015-11-22T00:00:00Z	2015-11-22T00:00:00Z	-33.12436	150.01617	729	WGS84	"Gardens of Stone Natl Park, Glen Davis Rd."					elevation computed from api.geonames.org/astergdem
J367	Eucalyptus sideroxylon	2015-12-15T00:00:00Z	2015-12-15T00:00:00Z	-30.5285	151.15897	790	WGS84	"Uralla-Kingstown Rd, Kingstown"					elevation computed from api.geonames.org/astergdem
J367i	Eucalyptus sideroxylonXmoluccana	2015-12-15T00:00:00Z	2015-12-15T00:00:00Z	-30.52474	151.15401	786	WGS84	"Uralla-Kingstown Rd, Kingstown"					elevation computed from api.geonames.org/astergdem
J368	Eucalyptus caleyi	2015-12-15T00:00:00Z	2015-12-15T00:00:00Z	-30.57301	151.09172	827	WGS84	"Kingstwon-Retreat Rd, Kingstown"					elevation computed from api.geonames.org/astergdem
J369	Eucalyptus caleyi	2015-12-15T00:00:00Z	2015-12-15T00:00:00Z	-30.07144	151.09796	818	WGS84	"Thunderbolts Way, Bundarra"					elevation computed from api.geonames.org/astergdem
J370	Eucalyptus fibrosa	2016-01-20T00:00:00Z	2016-01-20T00:00:00Z	-32.62925	151.87758	37	WGS84	"Bucketts Way, Stroud Road"					elevation computed from api.geonames.org/astergdem
J371	Eucalyptus fibrosa	2016-01-20T00:00:00Z	2016-01-20T00:00:00Z	-32.23292	151.93147	78	WGS84	"Bucketts Way, Wards River"					elevation computed from api.geonames.org/astergdem
J372	Eucalyptus polyanthemos	2016-01-24T00:00:00Z	2016-01-24T00:00:00Z	-37.60536	146.64015	217	WGS84	"Licola, Tamboritha Rd"					elevation computed from api.geonames.org/astergdem
J373	Eucalyptus melliodora	2016-01-24T00:00:00Z	2016-01-24T00:00:00Z	-37.46662	147.83218	166	WGS84	Doctors Flat					elevation computed from api.geonames.org/astergdem
J374	Eucalyptus albens	2016-01-24T00:00:00Z	2016-01-24T00:00:00Z	-37.36159	147.85228	280	WGS84	Ensay					elevation computed from api.geonames.org/astergdem
J375	Eucalyptus melliodora	2016-01-25T00:00:00Z	2016-01-25T00:00:00Z	-37.40165	148.21443	253	WGS84	Buchan					elevation computed from api.geonames.org/astergdem
J376	Eucalyptus albens	2016-01-25T00:00:00Z	2016-01-25T00:00:00Z	-37.07782	148.34419	683	WGS84	McKillop Bridge					elevation computed from api.geonames.org/astergdem
J377	Eucalyptus albens	2016-01-25T00:00:00Z	2016-01-25T00:00:00Z	-36.96985	148.30525	577	WGS84	Suggan Buggan					elevation computed from api.geonames.org/astergdem
J379	Eucalyptus polyanthemos	2016-01-26T00:00:00Z	2016-01-26T00:00:00Z	-36.94525	149.4919	269	WGS84	Bombala					elevation computed from api.geonames.org/astergdem
J381	Eucalyptus polyanthemos	2016-01-27T00:00:00Z	2016-01-27T00:00:00Z	-37.3619	149.66098	259	WGS84	Bruthen					elevation computed from api.geonames.org/astergdem
J382a	Eucalyptus albens	2016-01-27T00:00:00Z	2016-01-27T00:00:00Z	-37.21575	147.71677	322	WGS84	Swifts Creek					elevation computed from api.geonames.org/astergdem
J383	Eucalyptus polyanthemos	2016-01-27T00:00:00Z	2016-01-27T00:00:00Z	-36.31995	146.84286	322	WGS84	Yambuck					elevation computed from api.geonames.org/astergdem
J385	Eucalyptus sideroxylon	2016-01-29T00:00:00Z	2016-01-29T00:00:00Z	-36.17434	146.66263	245	WGS84	Chiltern					elevation computed from api.geonames.org/astergdem
J386	Eucalyptus albens	2016-01-29T00:00:00Z	2016-01-29T00:00:00Z	-36.14425	146.65103	239	WGS84	Chiltern					elevation computed from api.geonames.org/astergdem
J387	Eucalyptus sideroxylon	2016-01-29T00:00:00Z	2016-01-29T00:00:00Z	-32.24456	146.18248	283	WGS84	Warrangatta					elevation computed from api.geonames.org/astergdem
J388f	Eucalyptus albens	2016-01-29T00:00:00Z	2016-01-29T00:00:00Z	-36.26528	146.15425	254	WGS84	Warrangatta					elevation computed from api.geonames.org/astergdem
J389	Eucalyptus polyanthemos	2016-01-29T00:00:00Z	2016-01-29T00:00:00Z	-36.60631	145.92644	191	WGS84	Reef Road State Park					elevation computed from api.geonames.org/astergdem
J390	Eucalyptus albens	2016-01-29T00:00:00Z	2016-01-29T00:00:00Z	-36.5877	145.96066	175	WGS84	Reef Road State Park					elevation computed from api.geonames.org/astergdem
J392	Eucalyptus tricarpa	2016-01-30T00:00:00Z	2016-01-30T00:00:00Z	-37.00641	145.00121	211	WGS84	Puckapanyl					elevation computed from api.geonames.org/astergdem
J393	Eucalyptus albens	2016-01-30T00:00:00Z	2016-01-30T00:00:00Z	-36.93458	144.74492	269	WGS84	Heathcote					elevation computed from api.geonames.org/astergdem
J394g	Eucalyptus albens	2016-01-30T00:00:00Z	2016-01-30T00:00:00Z	-36.84715	144.52614	206	WGS84	Lake Eppalock					elevation computed from api.geonames.org/astergdem
J395	Eucalyptus albensXmicrocarpa	2016-01-31T00:00:00Z	2016-01-31T00:00:00Z	-36.76884	144.07336	201	WGS84	"Powers Rd, Woodstock on Loddon"					elevation computed from api.geonames.org/astergdem
J398	Eucalyptus leucoxylon	2016-02-02T00:00:00Z	2016-02-02T00:00:00Z	-37.22194	142.04807	226	WGS84	"Cherrypool, Rockland Reservoir"					elevation computed from api.geonames.org/astergdem
J399	Eucalyptus leucoxylon	2016-01-03T00:00:00Z	2016-01-03T00:00:00Z	-37.1632	144.08661	252	WGS84	Castlemaine					elevation computed from api.geonames.org/astergdem
J400	Eucalyptus moluccana	2016-04-05T00:00:00Z	2016-04-05T00:00:00Z	-30.44375	151.25961	768	WGS84	"Torreyburn Rd, Yarrowyck"					elevation computed from api.geonames.org/astergdem
J401	Eucalyptus sideroxylon	2016-04-05T00:00:00Z	2016-04-05T00:00:00Z	-30.44023	151.25069	752	WGS84	"Torreyburn Rd, Yarrowyck"					elevation computed from api.geonames.org/astergdem
J402	Eucalyptus caleyi	2016-04-05T00:00:00Z	2016-04-05T00:00:00Z	-30.04322	150.94122	728	WGS84	"Bundarra Rd, Copeton"					elevation computed from api.geonames.org/astergdem
J403	Eucalyptus caleyi	2016-04-05T00:00:00Z	2016-04-05T00:00:00Z	-29.92441	150.93559	612	WGS84	Copeton Dam Rd					elevation computed from api.geonames.org/astergdem
J404	Eucalyptus caleyi	2016-04-05T00:00:00Z	2016-04-05T00:00:00Z	-29.98952	150.85857	595	WGS84	Copeton Dam Rd					elevation computed from api.geonames.org/astergdem
J405	Eucalyptus sideroxylon	2016-04-05T00:00:00Z	2016-04-05T00:00:00Z	-30.22862	151.23865	746	WGS84	Baldersleigh Rd					elevation computed from api.geonames.org/astergdem
J406	Eucalyptus albens	2016-04-05T00:00:00Z	2016-04-05T00:00:00Z	-30.23707	151.252	775	WGS84	"Baldersleigh Rd, The Basin"					elevation computed from api.geonames.org/astergdem
J407	Eucalyptus fibrosa	2016-04-06T00:00:00Z	2016-04-06T00:00:00Z	-30.05045	152.63814	631	WGS84	Nymboidea					elevation computed from api.geonames.org/astergdem
J408	Eucalyptus crebra	2016-04-06T00:00:00Z	2016-04-06T00:00:00Z	-29.92432	152.75188	109	WGS84	Nymboidea					elevation computed from api.geonames.org/astergdem
J411	Eucalyptus fibrosa	2016-04-07T00:00:00Z	2016-04-07T00:00:00Z	-29.69674	152.10576	431	WGS84	"Old Grafton Rd, Gibraltar"					elevation computed from api.geonames.org/astergdem
J412	Eucalyptus moluccana	2016-06-16T00:00:00Z	2016-06-16T00:00:00Z	-30.96459	150.84267	360	WGS84	"Appleby Rd, Moonbi"					elevation computed from api.geonames.org/astergdem
J413	Eucalyptus albens	2016-06-16T00:00:00Z	2016-06-16T00:00:00Z	-30.70737	150.09621	245	WGS84	Boggabri - private land					elevation computed from api.geonames.org/astergdem
J414	Eucalyptus albens	2016-06-16T00:00:00Z	2016-06-16T00:00:00Z	-30.49283	149.94203	246	WGS84	Narrabri					elevation computed from api.geonames.org/astergdem
J416	Eucalyptus sideroxylon	2016-06-17T00:00:00Z	2016-06-17T00:00:00Z	-30.32322	149.26971	174	WGS84	Weewaa					elevation computed from api.geonames.org/astergdem
J417	Eucalyptus crebra	2016-06-17T00:00:00Z	2016-06-17T00:00:00Z	-30.32377	149.26567	173	WGS84	Weewaa					elevation computed from api.geonames.org/astergdem
J418	Eucalyptus sideroxylon	2016-06-17T00:00:00Z	2016-06-17T00:00:00Z	-31.05012	149.23013	375	WGS84	The Pilliga					elevation computed from api.geonames.org/astergdem
J419	Eucalyptus albens	2016-06-23T00:00:00Z	2016-06-23T00:00:00Z	-31.35926	148.93951	483	WGS84	Warrumbungle					elevation computed from api.geonames.org/astergdem
J420	Eucalyptus moluccana	2016-06-23T00:00:00Z	2016-06-23T00:00:00Z	-31.35926	148.93951	483	WGS84	Warrumbungle					elevation computed from api.geonames.org/astergdem
J421	Eucalyptus sideroxylon	2016-06-23T00:00:00Z	2016-06-23T00:00:00Z	-32.36597	148.23103	288	WGS84	Narromine					elevation computed from api.geonames.org/astergdem
J422	Eucalyptus sideroxylon	2016-06-24T00:00:00Z	2016-06-24T00:00:00Z	-32.22311	148.66797	329	WGS84	Dubbo					elevation computed from api.geonames.org/astergdem
J423	Eucalyptus moluccana	2016-06-24T00:00:00Z	2016-06-24T00:00:00Z	-31.82373	149.68475	645	WGS84	Coolah					elevation computed from api.geonames.org/astergdem
J424	Eucalyptus albens	2016-06-24T00:00:00Z	2016-06-24T00:00:00Z	-31.71111	150.6998	434	WGS84	Ardglen					elevation computed from api.geonames.org/astergdem
J425i	Eucalyptus sideroxylon	2016-07-09T00:00:00Z	2016-07-09T00:00:00Z	-30.30756	151.20671	721	WGS84	Bundarra					elevation computed from api.geonames.org/astergdem
J426	Eucalyptus albens	2016-07-09T00:00:00Z	2016-07-09T00:00:00Z	-30.30846	151.20667	729	WGS84	Bundarra					elevation computed from api.geonames.org/astergdem
J427	Eucalyptus caleyi	2016-07-09T00:00:00Z	2016-07-09T00:00:00Z	-30.36709	151.25757	765	WGS84	Bundarra					elevation computed from api.geonames.org/astergdem
J427a	Eucalyptus caleyi	2016-07-09T00:00:00Z	2016-07-09T00:00:00Z	-30.36709	151.25757	765	WGS84	Bundarra					elevation computed from api.geonames.org/astergdem
J428d	Eucalyptus albens	2016-07-09T00:00:00Z	2016-07-09T00:00:00Z	-29.6731	151.15315	621	WGS84	Inverell					elevation computed from api.geonames.org/astergdem
J429f	Eucalyptus albens	2016-07-09T00:00:00Z	2016-07-09T00:00:00Z	-28.77243	151.21523	358	WGS84	Texas					elevation computed from api.geonames.org/astergdem
J431	Eucalyptus crebra	2016-07-10T00:00:00Z	2016-07-10T00:00:00Z	-28.56955	151.07539	292	WGS84	Inglewood					elevation computed from api.geonames.org/astergdem
J432	Eucalyptus fibrosa	2016-07-10T00:00:00Z	2016-07-10T00:00:00Z	-28.18033	151.66934	558	WGS84	Glendon					elevation computed from api.geonames.org/astergdem
J433a	Eucalyptus sideroxylon	2016-07-10T00:00:00Z	2016-07-10T00:00:00Z	-28.17577	151.6577	519	WGS84	Glendon					elevation computed from api.geonames.org/astergdem
J434a	Eucalyptus sideroxylon	2016-07-10T00:00:00Z	2016-07-10T00:00:00Z	-27.7547	152.1189	514	WGS84	Allora					elevation computed from api.geonames.org/astergdem
J435d	Eucalyptus sideroxylon	2016-07-10T00:00:00Z	2016-07-10T00:00:00Z	-26.36944	151.88103	372	WGS84	Wondai					elevation computed from api.geonames.org/astergdem
J436d	Eucalyptus albens	2016-07-11T00:00:00Z	2016-07-11T00:00:00Z	-27.18896	151.73259	512	WGS84	Kulpi					elevation computed from api.geonames.org/astergdem
J437	Eucalyptus sideroxylonXmelliodora	2016-11-28T00:00:00Z	2016-11-28T00:00:00Z	-30.27552	151.18698	708	WGS84	"Bundarra, Thunderbolts Way"					elevation computed from api.geonames.org/astergdem
J438	Eucalyptus sideroxylonXmelliodora	2016-11-28T00:00:00Z	2016-11-28T00:00:00Z	-30.27563	151.18764	707	WGS84	"Bundarra, Thunderbolts Way"					elevation computed from api.geonames.org/astergdem
NE90535	Eucalyptus woollsiana	2006-10-25T00:00:00Z	2006-10-25T00:00:00Z	-28.2333	151.1667	326	WGS84	"State Forest 341 Bringalily, north eastern portion, 22 km NNE of Inglewood."					elevation computed from api.geonames.org/astergdem
RA1006	Eucalyptus albens			-30.4821	151.4628	937	WGS84	"The Pinnacle, Bundarra Rd."	Rose Andrew				elevation computed from api.geonames.org/astergdem
TLC715	Eucalyptus conica			-28.68757004	151.962399	851.994751	WGS84	Stanthorpe					
TLC720	Eucalyptus conica			-29.06569697	151.988323	895.315063	WGS84	Tenterfield					
TLC725	Eucalyptus conica			-29.60565004	151.867978	1038.672363	WGS84	Dundee					
TLC726	Eucalyptus conica			-30.282428	151.195725	687	WGS84	Abington Creek					elevation computed from api.geonames.org/astergdem
TLC775	Eucalyptus conica			-28.39504103	151.311965	344	WGS84	Inglewood					
VMA18	Eucalyptus microcarpa	2013-10-28T00:00:00Z	2013-10-28T00:00:00Z	-36.77474	141.82599	179	WGS84	Mt Arapiles State Park					elevation computed from api.geonames.org/astergdem
VWG14	Eucalyptus microcarpa	2013-12-03T00:00:00Z	2013-12-03T00:00:00Z	-37.67129	144.36256	161	WGS84	Werribee Gorge State Park					elevation computed from api.geonames.org/astergdem
Angophora_floribunda_ANU_Banks_Building	Angophora floribunda							ANU Banks Building					
Corymbia_calophylla_ANBG	Corymbia calophylla							ANBG					
Corymbia_maculata_Arboretum_ACT	Corymbia maculata							ACT Arboretum					
Eucalyptus_albens_ANBG	Eucalyptus albens							ANBG					
Eucalyptus_brandiana	Eucalyptus brandiana							CCA					
Eucalyptus_camadulensis_ANBG	Eucalyptus camadulensis							ANBG					
Eucalyptus_cladocalyx	Eucalyptus cladocalyx							CCA					
Eucalyptus_cloezania_ANBG	Eucalyptus cloezania							ANBG					
Eucalyptus_coolabah	Eucalyptus coolabah							CCA					
Eucalyptus_curtisii_ANBG	Eucalyptus curtisii							ANBG					
Eucalyptus_decipiens	Eucalyptus decipiens							CCA					
Eucalyptus_desmondensis	Eucalyptus desmondensis							CCA					
Eucalyptus_diversifolia	Eucalyptus diversifolia							CCA					
Eucalyptus_elata_ANBG	Eucalyptus elata							ANBG					
Eucalyptus_erythrocorys_ANBG	Eucalyptus erythrocorys							ANBG					
Eucalyptus_globulus_UTAS_Campus	Eucalyptus globulus							UTAS Campus					
Eucalyptus_gomphocephala	Eucalyptus gomphocephala							CCA					
Eucalyptus_grandis	Eucalyptus grandis							CCA					
Eucalyptus_laeliae	Eucalyptus laeliae							CCA					
Eucalyptus_leucophloia	Eucalyptus leucophloia							CCA					
Eucalyptus_marginata_ANBG	Eucalyptus marginata							ANBG					
EmelCSIRO	Eucalyptus melliodora			-35.2753382	149.1153358	562	WGS84	"CSIRO/ANU Gate near Burton & Garran Hall, ANU Acton Campus"	Ash Jones & Kevin Murray				Old remnant Emel at gate between CSIRO main building and carpark between Bruce/B&G halls across daley road from Gould building; elevation computed from api.geonames.org/astergdem
Eucalyptus_microcorys_ANBG	Eucalyptus microcorys							ANBG					
